# Data generated with generateMultisineData.py script.
# TimeStep= 0.001 EndTime = 10.0 bias = 0.0 amplitude = 2.0
# frequencies = [0.2, 0.5, 0.9, 1.7, 2.8, 4.0]
# phases = [0.0, 1.1, 2.2, 0.7, 1.9, 2.8]
# time, data
8.718999999999999417e+00,-3.256762013226361940e-01
8.720000000000000639e+00,-3.284279925368134845e-01
8.721000000000000085e+00,-3.312838699723563707e-01
8.721999999999999531e+00,-3.342406564611752340e-01
8.723000000000000753e+00,-3.372950655306145573e-01
8.724000000000000199e+00,-3.404437036085640744e-01
8.724999999999999645e+00,-3.436830723103563301e-01
8.726000000000000867e+00,-3.470095708058551498e-01
8.727000000000000313e+00,-3.504194982653126567e-01
8.727999999999999758e+00,-3.539090563826078339e-01
8.729000000000000981e+00,-3.574743519739745357e-01
8.730000000000000426e+00,-3.611113996507879786e-01
8.730999999999999872e+00,-3.648161245645863415e-01
8.731999999999999318e+00,-3.685843652227456801e-01
8.733000000000000540e+00,-3.724118763727242154e-01
8.733999999999999986e+00,-3.762943319533160746e-01
8.734999999999999432e+00,-3.802273281108360936e-01
8.736000000000000654e+00,-3.842063862783828831e-01
8.737000000000000099e+00,-3.882269563160682391e-01
8.737999999999999545e+00,-3.922844197104824460e-01
8.739000000000000767e+00,-3.963740928309400502e-01
8.740000000000000213e+00,-4.004912302406162250e-01
8.740999999999999659e+00,-4.046310280604960563e-01
8.742000000000000881e+00,-4.087886273837639806e-01
8.743000000000000327e+00,-4.129591177384540068e-01
8.743999999999999773e+00,-4.171375405962750027e-01
8.745000000000000995e+00,-4.213188929251040493e-01
8.746000000000000441e+00,-4.254981307829264203e-01
8.746999999999999886e+00,-4.296701729508853318e-01
8.747999999999999332e+00,-4.338299046030122397e-01
8.749000000000000554e+00,-4.379721810102558677e-01
8.750000000000000000e+00,-4.420918312764365865e-01
8.750999999999999446e+00,-4.461836621035019101e-01
8.752000000000000668e+00,-4.502424615838377941e-01
8.753000000000000114e+00,-4.542630030168407496e-01
8.753999999999999559e+00,-4.582400487475790651e-01
8.755000000000000782e+00,-4.621683540247291666e-01
8.756000000000000227e+00,-4.660426708752650193e-01
8.756999999999999673e+00,-4.698577519935654978e-01
8.758000000000000895e+00,-4.736083546420257195e-01
8.759000000000000341e+00,-4.772892445608298284e-01
8.759999999999999787e+00,-4.808951998841288766e-01
8.761000000000001009e+00,-4.844210150601697129e-01
8.762000000000000455e+00,-4.878615047725965992e-01
8.762999999999999901e+00,-4.912115078604176732e-01
8.763999999999999346e+00,-4.944658912339307544e-01
8.765000000000000568e+00,-4.976195537840648608e-01
8.766000000000000014e+00,-5.006674302824395406e-01
8.766999999999999460e+00,-5.036044952696485666e-01
8.768000000000000682e+00,-5.064257669289238262e-01
8.769000000000000128e+00,-5.091263109427980327e-01
8.769999999999999574e+00,-5.117012443300640312e-01
8.771000000000000796e+00,-5.141457392603878684e-01
8.772000000000000242e+00,-5.164550268440668557e-01
8.772999999999999687e+00,-5.186244008944002060e-01
8.774000000000000909e+00,-5.206492216599436507e-01
8.775000000000000355e+00,-5.225249195243304445e-01
8.775999999999999801e+00,-5.242469986708911955e-01
8.777000000000001023e+00,-5.258110407097883465e-01
8.778000000000000469e+00,-5.272127082651266727e-01
8.778999999999999915e+00,-5.284477485194002400e-01
8.779999999999999361e+00,-5.295119967131141081e-01
8.781000000000000583e+00,-5.304013795969783063e-01
8.782000000000000028e+00,-5.311119188342923181e-01
8.782999999999999474e+00,-5.316397343513433738e-01
8.784000000000000696e+00,-5.319810476332565985e-01
8.785000000000000142e+00,-5.321321849631174272e-01
8.785999999999999588e+00,-5.320895806021984642e-01
8.787000000000000810e+00,-5.318497799088441891e-01
8.788000000000000256e+00,-5.314094423939973444e-01
8.788999999999999702e+00,-5.307653447111839728e-01
8.790000000000000924e+00,-5.299143835788011625e-01
8.791000000000000369e+00,-5.288535786326611365e-01
8.791999999999999815e+00,-5.275800752067527633e-01
8.793000000000001037e+00,-5.260911470402378498e-01
8.794000000000000483e+00,-5.243841989087429933e-01
8.794999999999999929e+00,-5.224567691780794831e-01
8.795999999999999375e+00,-5.203065322784411473e-01
8.797000000000000597e+00,-5.179313010974195830e-01
8.798000000000000043e+00,-5.153290292900009062e-01
8.798999999999999488e+00,-5.124978135037721039e-01
8.800000000000000711e+00,-5.094358955179084658e-01
8.801000000000000156e+00,-5.061416642941057864e-01
8.801999999999999602e+00,-5.026136579380647840e-01
8.803000000000000824e+00,-4.988505655699976282e-01
8.804000000000000270e+00,-4.948512291027161170e-01
8.804999999999999716e+00,-4.906146449259219944e-01
8.806000000000000938e+00,-4.861399654953834637e-01
8.807000000000000384e+00,-4.814265008258919454e-01
8.807999999999999829e+00,-4.764737198864564260e-01
8.809000000000001052e+00,-4.712812518969881626e-01
8.810000000000000497e+00,-4.658488875251262651e-01
8.810999999999999943e+00,-4.601765799823256398e-01
8.811999999999999389e+00,-4.542644460182318489e-01
8.813000000000000611e+00,-4.481127668123944252e-01
8.814000000000000057e+00,-4.417219887626957497e-01
8.814999999999999503e+00,-4.350927241693708369e-01
8.816000000000000725e+00,-4.282257518143171571e-01
8.817000000000000171e+00,-4.211220174349034617e-01
8.817999999999999616e+00,-4.137826340916062051e-01
8.819000000000000838e+00,-4.062088824291728573e-01
8.820000000000000284e+00,-3.984022108308686860e-01
8.820999999999999730e+00,-3.903642354651916668e-01
8.822000000000000952e+00,-3.820967402251535527e-01
8.823000000000000398e+00,-3.736016765596742450e-01
8.823999999999999844e+00,-3.648811631968630342e-01
8.825000000000001066e+00,-3.559374857593483599e-01
8.826000000000000512e+00,-3.467730962715299681e-01
8.826999999999999957e+00,-3.373906125585495741e-01
8.827999999999999403e+00,-3.277928175376237374e-01
8.829000000000000625e+00,-3.179826584014515678e-01
8.830000000000000071e+00,-3.079632456942747454e-01
8.830999999999999517e+00,-2.977378522805940730e-01
8.832000000000000739e+00,-2.873099122073738410e-01
8.833000000000000185e+00,-2.766830194597854065e-01
8.833999999999999631e+00,-2.658609266111872649e-01
8.835000000000000853e+00,-2.548475433680501556e-01
8.836000000000000298e+00,-2.436469350103563913e-01
8.836999999999999744e+00,-2.322633207281568635e-01
8.838000000000000966e+00,-2.207010718552291917e-01
8.839000000000000412e+00,-2.089647100007396285e-01
8.839999999999999858e+00,-1.970589050795350516e-01
8.840999999999999304e+00,-1.849884732424630918e-01
8.842000000000000526e+00,-1.727583747074966647e-01
8.842999999999999972e+00,-1.603737114930503804e-01
8.843999999999999417e+00,-1.478397250541880481e-01
8.845000000000000639e+00,-1.351617938236487904e-01
8.846000000000000085e+00,-1.223454306585799872e-01
8.846999999999999531e+00,-1.093962801942528623e-01
8.848000000000000753e+00,-9.632011610661354861e-02
8.849000000000000199e+00,-8.312283828494049231e-02
8.849999999999999645e+00,-6.981046991591446926e-02
8.851000000000000867e+00,-5.638915448122090723e-02
8.852000000000000313e+00,-4.286515267010324731e-02
8.852999999999999758e+00,-2.924483920834401382e-02
8.854000000000000981e+00,-1.553469960597532971e-02
8.855000000000000426e+00,-1.741326825216493301e-03
8.855999999999999872e+00,1.212858212956224174e-02
8.856999999999999318e+00,2.606822969752893571e-02
8.858000000000000540e+00,4.007072132111437479e-02
8.858999999999999986e+00,5.412906907742097429e-02
8.859999999999999432e+00,6.823619537959586812e-02
8.861000000000000654e+00,8.238493674570421255e-02
8.862000000000000099e+00,9.656804763293039273e-02
8.862999999999999545e+00,1.107782043352460860e-01
8.864000000000000767e+00,1.250080089418037221e-01
8.865000000000000213e+00,1.392499933539766144e-01
8.865999999999999659e+00,1.534966233588883344e-01
8.867000000000000881e+00,1.677403027566025939e-01
8.868000000000000327e+00,1.819733775387969432e-01
8.868999999999999773e+00,1.961881401166696293e-01
8.870000000000000995e+00,2.103768335951285984e-01
