# This is the header
# time,motor_current,linear_position,linear_speed,motor_angle,motor_speed,linear_encoder,motor_encoder,force_motor,force_gravity,force_friction,net_force,linear_acceleration,commanded_current
5.500000000000000028e-02,8.607788666263485045e-01,2.881313668582279964e-04,8.670432816538033854e-03,2.262978463476486901e+00,6.809742009969936305e+01,2.881313668582279964e-04,2.262978463476486901e+00,5.408433127517370167e+02,2.941995000000000005e+02,1.525779912435986674e+01,2.313860136273771388e+02,7.712867120912571262e-02,8.607788666263485045e-01
5.600000000000000117e-02,8.482372340138574218e-01,2.968763008612964964e-04,8.744934003068485784e-03,2.331661014526905884e+00,6.868255105041883724e+01,2.968763008612964964e-04,2.331661014526905884e+00,5.329631725758521270e+02,2.941995000000000005e+02,1.526011298449614095e+01,2.235035595913559803e+02,7.450118653045199879e-02,8.482372340138574218e-01
5.700000000000000205e-02,8.358415585991996188e-01,3.056931391616956239e-04,8.816838300399141778e-03,2.400908300607963231e+00,6.924728608105765204e+01,3.056931391616956239e-04,2.400908300607963231e+00,5.251747400120576685e+02,2.941995000000000005e+02,1.526234802009205538e+01,2.157128919919656198e+02,7.190429733065520357e-02,8.358415585991996188e-01
5.800000000000000294e-02,8.235973098652488167e-01,3.145793166109243791e-04,8.886177449228736119e-03,2.470700175090444262e+00,6.979187448248070780e+01,3.145793166109243791e-04,2.470700175090444262e+00,5.174814516377964537e+02,2.941995000000000005e+02,1.526450514901197408e+01,2.080174464887844863e+02,6.933914882959482662e-02,8.235973098652488167e-01
5.900000000000000383e-02,8.115098192347293127e-01,3.235323009174735209e-04,8.952984306549163426e-03,2.541016749403342878e+00,7.031657431289890781e+01,3.235323009174735209e-04,2.541016749403342878e+00,5.098866572847613270e+02,2.941995000000000005e+02,1.526658532347686226e+01,2.004205719612844518e+02,6.680685732042815350e-02,8.115098192347293127e-01
5.999999999999999778e-02,7.995842774102268624e-01,3.325495937336354619e-04,9.017292816161955396e-03,2.611838401569648749e+00,7.082165216630603766e+01,3.325495937336354619e-04,2.611838401569648749e+00,5.023936183675743905e+02,2.941995000000000005e+02,1.526858952919647550e+01,1.929255288383779146e+02,6.430850961279263589e-02,7.995842774102268624e-01
6.099999999999999867e-02,7.878257318090261530e-01,3.416287317122932571e-04,9.079137978657810318e-03,2.683145784506347109e+00,7.130738293669865868e+01,3.416287317122932571e-04,2.683145784506347109e+00,4.950055062720478531e+02,2.941995000000000005e+02,1.527051878448485844e+01,1.855354874875629889e+02,6.184516249585433195e-02,7.878257318090261530e-01
6.199999999999999956e-02,7.762390840941817416e-01,3.507672875331726029e-04,9.138555820879327649e-03,2.754919834084584185e+00,7.177404957823684128e+01,3.507672875331726029e-04,2.754919834084584185e+00,4.877254008039102473e+02,2.941995000000000005e+02,1.527237413935973365e+01,1.782535266645505203e+02,5.941784222151683809e-02,7.762390840941817416e-01
6.300000000000000044e-02,7.648290878031522855e-01,3.599628708980600147e-04,9.195583364887396569e-03,2.827141776946091145e+00,7.222194286150688924e+01,3.599628708980600147e-04,2.827141776946091145e+00,4.805562886988332139e+02,2.941995000000000005e+02,1.527415667462637927e+01,1.710826320242068448e+02,5.702754400806894775e-02,7.648290878031522855e-01
6.400000000000000133e-02,7.536003460752661587e-01,3.692131294945119732e-04,9.250258596451933768e-03,2.899793138072139342e+00,7.265136112604807295e+01,3.692131294945119732e-04,2.899793138072139342e+00,4.735010621945563685e+02,2.941995000000000005e+02,1.527586750094662271e+01,1.640256946936097506e+02,5.467523156453658190e-02,7.536003460752661587e-01
6.500000000000000222e-02,7.425573094792355944e-01,3.785157499275998948e-04,9.302620433087927659e-03,2.972855748101447926e+00,7.306261002930833115e+01,3.785157499275998948e-04,2.972855748101447926e+00,4.665625176658738269e+02,2.941995000000000005e+02,1.527750775789355764e+01,1.570855099079802812e+02,5.236183663599342647e-02,7.425573094792355944e-01
6.600000000000000311e-02,7.317042739418530006e-01,3.878684586192578934e-04,9.352708691657996010e-03,3.046311750393643436e+00,7.345600229219542143e+01,3.878684586192578934e-04,3.046311750393643436e+00,4.597433543231957742e+02,2.941995000000000005e+02,1.527907861299263814e+01,1.502647757102031392e+02,5.008825857006771187e-02,7.317042739418530006e-01
6.700000000000000400e-02,7.210453787789548041e-01,3.972690226748207417e-04,9.400564055562868684e-03,3.120143607835034416e+00,7.383185744139144902e+01,3.972690226748207417e-04,3.120143607835034416e+00,4.530461729753668578e+02,2.941995000000000005e+02,1.528058126074973977e+01,1.435660917146171300e+02,4.785536390487237640e-02,7.210453787789548041e-01
6.800000000000000488e-02,7.105846048296662332e-01,4.067152507163621523e-04,9.446228041541437914e-03,3.194334109383635489e+00,7.419050154860120472e+01,4.067152507163621523e-04,3.194334109383635489e+00,4.464734748573771412e+02,2.941995000000000005e+02,1.528201692166688552e+01,1.369919579357102464e+02,4.566398597857008329e-02,7.105846048296662332e-01
6.900000000000000577e-02,7.003257726948730610e-01,4.162049936824643707e-04,9.489742966102209312e-03,3.268866376350541003e+00,7.453226696690528286e+01,4.162049936824643707e-04,3.268866376350541003e+00,4.400276605235617353e+02,2.941995000000000005e+02,1.528338684124624258e+01,1.305447736823154798e+02,4.351492456077182824e-02,7.003257726948730610e-01
7.000000000000000666e-02,6.902725410808012718e-01,4.257361455940725150e-04,9.531151911608162081e-03,3.343723868414932188e+00,7.485749206439129466e+01,4.257361455940725150e-04,3.343723868414932188e+00,4.337110288068408295e+02,2.941995000000000005e+02,1.528469228898306653e+01,1.242268365178577625e+02,4.140894550595258794e-02,6.902725410808012718e-01
7.100000000000000755e-02,6.804284052485215506e-01,4.353066442861097565e-04,9.570498692037217661e-03,3.418890389370169203e+00,7.516652095523711807e+01,4.353066442861097565e-04,3.418890389370169203e+00,4.275257758445147829e+02,2.941995000000000005e+02,1.528593455734824502e+01,1.180403412871665410e+02,3.934678042905551121e-02,6.804284052485215506e-01
7.200000000000000844e-02,6.707966955701227807e-01,4.449144721045504157e-04,9.607827818440658335e-03,3.494350092598591306e+00,7.545970322842205746e+01,4.449144721045504157e-04,3.494350092598591306e+00,4.214739941710813582e+02,2.941995000000000005e+02,1.528711496076111587e+01,1.119873792103202419e+02,3.732912640344008409e-02,6.707966955701227807e-01
